SLIC,Facility Latitude,Facility Longitude
1175,40.7214,-73.6065
1176,40.7545,-73.4196
1178,40.8301,-73.0213
1181,40.72295,-73.76085
1183,40.8301,-73.0213
1186,40.7545,-73.4196
1187,40.7214,-73.6065
1188,40.7545,-73.4196
1189,40.7545,-73.4196
1191,41.3677,-72.126
1192,40.8301,-73.0213
1193,40.7545,-73.4196
1194,40.7545,-73.4196
1195,40.7545,-73.4196
1196,40.7214,-73.6065
1198,40.7545,-73.4196
11CR,42.7524,-73.7776
11CS,39.6126,-77.7308
11KC,32.2687,-90.207
11NS,39.2626,-76.675
1201,42.7524,-73.7776
1202,43.0561,-74.3429
1208,43.0561,-74.3429
121,42.7524,-73.7776
122,34.20192,-59.02208
1224,42.7524,-73.7776
1225,42.7524,-73.7776
1228,42.7524,-73.7776
1229,42.7524,-73.7776
123,42.7524,-73.7776
1235,41.7413,-74.7201
1236,42.7524,-73.7776
1237,43.9828,-75.9263
1238,44.6699,-74.9581
1239,42.7445,-73.8129
124,41.9482,-73.992
1247,43.0561,-74.3429
1248,41.9482,-73.992
1249,41.9482,-73.992
125,42.2503,-73.7891
1251,41.3453,-74.2765
1252,41.3453,-74.2765
1253,42.2503,-73.7891
1255,41.4976,-74.0221
1258,41.3453,-74.2765
1259,16.59992,-29.64048
126,41.6419,-73.7941
1261,41.6419,-73.7941
1262,41.6419,-73.7941
1263,41.3453,-74.2765
1264,41.7413,-74.7201
1268,41.4976,-74.0221
1269,41.4976,-74.0221
126GP,0,0
1271,41.7413,-74.7201
1272,41.40622,-74.17474
1273,41.4976,-74.0221
1276,41.4976,-74.0221
1277,42.7524,-73.7776
1278,42.7524,-73.7776
1281,43.2976,-73.6774
1284,43.2976,-73.6774
1287,43.1088,-76.0772
1288,42.6036,-76.1641
1289,44.7035,-73.5409
129,44.7035,-73.5409
1292,43.2976,-73.6774
1293,44.7035,-73.5409
1297,44.7035,-73.5409
1298,44.7035,-73.5409
1299,44.7035,-73.5409
12CR,40.7539,-74.0636
12KA,41.9482,-73.992
12RR,42.7524,-73.7776
1302,42.6036,-76.1641
1308,43.0916,-75.3129
1319,43.1114,-76.1253
132,43.1088,-76.0772
1321,43.1088,-76.0772
1325,43.1088,-76.0772
1326,43.1088,-76.0772
1328,43.1088,-76.0772
1329,43.1088,-76.0772
1335,42.4841,-79.3459
1336,43.1616,-78.7115
1337,42.4661,-77.719
1338,42.1592,-77.1117
134,43.2342,-75.505
1341,43.2342,-75.505
1348,43.2342,-75.505
1349,42.8847,-78.8037
135,43.0916,-75.3129
1351,43.2342,-75.505
1358,43.0916,-75.3129
1359,43.0916,-75.3129
136,43.9828,-75.9263
1361,44.6699,-74.9581
1362,44.6699,-74.9581
1365,43.69146667,-75.9766
1368,44.14953333,-75.33113333
1369,43.1088,-76.0772
136LV,43.1088,-76.0772
1376,42.109,-75.9781
1378,31.58175,-56.983575
1379,43.9828,-75.9263
137CS,0,0
1386,42.458,-75.0584
1388,42.458,-75.0584
1389,42.109,-75.9781
1395,42.109,-75.9781
1398,42.44226667,-76.01113333
1399,42.109,-75.9781
13NS,37.3173,-79.9796
1401,42.4841,-79.3459
1405,42.8847,-78.8037
1408,42.9961,-78.1778
1409,43.1076,-78.9878
141,43.1616,-78.7115
1414,43.1664,-77.6052
1419,32.163525,-59.102775
1421,42.8847,-78.8037
1422,43.095975,-77.904825
1426,43.1792,-77.6742
1427,42.8847,-78.8037
1428,42.8847,-78.8037
1429,42.8847,-78.8037
143,43.1076,-78.9878
1435,42.8847,-78.8037
1436,43.1076,-78.9878
1439,42.937,-78.7442
144,42.8865,-76.9782
1441,43.0593,-77.6073
1443,42.9297,-77.135475
1445,43.0593,-77.6073
1446,43.0593,-77.6073
1449,43.0593,-77.6073
144PM,0,0
1454,43.1664,-77.6052
1455,42.8865,-76.9782
1456,43.0593,-77.6073
1459,42.4841,-79.3459
145AC,21.135,-39.855
146,43.1664,-77.6052
1462,43.1664,-77.6052
1468,43.0593,-77.6073
1469,43.1664,-77.6052
146SB,0,0
146SP,0,0
147,42.1172,-79.1916
1471,42.0849,-78.4895
1473,43.1664,-77.6052
1474,43.0593,-77.6073
1475,43.0593,-77.6073
1476,42.692825,-78.900675
1477,42.0849,-78.4895
1479,42.1172,-79.1916
1481,42.4695,-76.4648
1482,42.1592,-77.1117
1488,43.071675,-77.224775
1489,42.4661,-77.719
149,42.1677,-76.8212
1491,41.61565,-75.3201
1493,42.8865,-76.9782
1494,43.1664,-77.6052
1495,42.63765,-77.9045
1499,42.1677,-76.8212
14NS,42.8847,-78.8037
1501,40.72,-80.2959
1502,40.2252,-79.6116
1506,40.5962,-79.5558
1509,40.498,-80.2141
151,40.2252,-79.6116
1512,40.4468,-80.0826
1513,40.4468,-80.0826
1515,40.4468,-80.0826
1516,40.72,-80.2959
1518,40.4468,-80.0826
1519,40.4468,-80.0826
152,40.4575,-80.0302
1522,40.4575,-80.0302
1523,24.26874,-47.99646
1525,40.4575,-80.0302
1529,40.4575,-80.0302
153,40.2044,-80.2596
1532,40.2044,-80.2596
1538,40.4575,-80.0302
154,39.9011,-79.7268
1543,40.72,-80.2959
1546,40.4575,-80.0302
1548,39.9011,-79.7268
1558,40.2252,-79.6116
1559,40.2824,-78.8433
155AC,20.78,-38.555
155AS,20.78,-38.555
156,40.2252,-79.6116
1567,40.2252,-79.6116
1568,40.2252,-79.6116
1569,40.2252,-79.6116
157,40.6003,-79.1469
1573,40.54116,-79.99914
1576,40.6003,-79.1469
1579,41.1255,-78.7477
1584,40.95688,-78.76682
1589,41.1255,-78.7477
159,40.2824,-78.8433
1594,41.6217,-80.2082
1596,40.2824,-78.8433
1598,41.1255,-78.7477
1599,40.2824,-78.8433
1606,8.17516,-15.97498
1607,20.4379,-39.93745
161,41.0877,-80.3575
1616,41.0877,-80.3575
1628,41.3788,-79.7064
163,41.3788,-79.7064
1631,41.6217,-80.2082
1632,41.6606,-78.8
1634,40.498,-80.2141
1635,41.6606,-78.8
1639,40.498,-80.2141
1649,42.086,-80.0743
165,42.086,-80.0743
1656,42.086,-80.0743
1659,42.086,-80.0743
166,40.4993,-78.3976
1666,40.4993,-78.3976
1669,40.4993,-78.3976
1679,40.498,-80.2141
1685,41.1255,-78.7477
1686,41.56,-77.11
1687,40.8273,-77.8007
1688,40.8273,-77.8007
1689,41.56,-77.11
168CP,41.56,-77.11
1698,39.9239,-77.6689
1701,40.2429,-76.8472
1702,40.0899,-76.3498
1708,40.0899,-76.3498
1709,40.1955,-76.7421
170A,0,0
170AM,0,0
170AZ,0,0
170NS,0,0
170OS,0,0
170SH,0,0
170SS,20.78,-38.555
1711,40.2429,-76.8472
1712,40.15547143,-76.56297143
1713,40.2429,-76.8472
1714,40.3237,-76.7107
1716,40.2429,-76.8472
1718,40.2429,-76.8472
1719,40.2429,-76.8472
171AM,0,0
171AP,0,0
171AZ,0,0
171CH,40.2429,-76.8472
1721,40.21202222,-77.3329
1722,39.9239,-77.6689
1723,40.03023333,-77.395
1728,39.9239,-77.6689
1729,40.1955,-76.7421
172SP,20.78,-38.555
173,39.9625,-76.7274
1731,39.7721,-77.2408
1732,39.98396667,-76.6468
1733,39.7721,-77.2408
1737,40.2429,-76.8472
1738,39.9625,-76.7274
174,40.049,-76.7468
1742,40.049,-76.7468
1743,40.30083333,-76.80733333
1744,40.0899,-76.3498
1748,40.049,-76.7468
1749,40.049,-76.7468
174TC,0,0
175,40.0899,-76.3498
1752,40.41658889,-76.51873333
1753,40.2736625,-76.444825
1754,40.0899,-76.3498
1755,34.36277143,-65.44268571
1756,40.0899,-76.3498
1758,39.7721,-77.2408
1759,40.0899,-76.3498
175UO,0,0
1762,40.2736625,-76.444825
1765,20.04495,-38.1749
1767,40.0899,-76.3498
1768,40.0899,-76.3498
1769,0,0
176QV,0,0
176QW,0,0
176WR,0,0
1773Z,41.56,-77.11
1774,40.6639,-77.5961
1778,41.2397,-77.0223
1779,41.2397,-77.0223
1784Z,41.56,-77.11
1787,40.7812,-76.8654
1788,40.7812,-76.8654
1789,40.7812,-76.8654
179,40.7155,-76.1895
1794Z,41.56,-77.11
1797,40.7155,-76.1895
1798,36.06415556,-68.36702222
17RA,40.2429,-76.8472
17TY,40.2429,-76.8472
17ZG,41.56,-77.11
1801,40.6675,-75.3848
1809,40.6636,-75.39946667
180AM,0,0
180CD,40.6558,-75.4288
180CN,40.6558,-75.4288
180CS,40.6558,-75.4288
180CT,40.6558,-75.4288
180SC,0,0
180U,40.6675,-75.3848
180VF,41.56,-77.11
180WM,0,0
180ZU,0,0
181,40.6675,-75.3848
1811,40.6675,-75.3848
1812,40.6675,-75.3848
1813,40.795,-75.63125714
1816Z,0,0
1818,40.6675,-75.3848
1819,40.6675,-75.3848
181HC,41.56,-77.11
181TD,40.6675,-75.3848
181VZ,40.6675,-75.3848
182,40.7766,-75.9604
1825,40.6675,-75.3848
1826,30.58245,-56.9703
1827,40.7766,-75.9604
1828,40.7766,-75.9604
1829,41.56,-77.11
182AE,20.3883,-37.9802
182CT,41.56,-77.11
183,40.9955,-75.1768
1837,40.9955,-75.1768
183AM,20.78,-38.555
1853A,41.50276667,-76.64416667
1853Z,41.3883,-75.7125
1854,41.3883,-75.7125
1856,41.325,-75.7517
1857,35.47568571,-64.89642857
1858,41.3883,-75.7125
1859,41.3883,-75.7125
1869,41.325,-75.7517
1869Z,41.56,-77.11
186AM,0,0
186KO,0,0
187,41.325,-75.7517
1878,41.325,-75.7517
1879,41.325,-75.7517
1892,40.1607,-75.1392
1894,40.1607,-75.1392
1895,40.1607,-75.1392
1898,39.9881,-75.5813
189M,42.6001,-71.3046
18ABE,40.6558,-75.4288
18RY,40.6675,-75.3848
18UC,40.6675,-75.3848
18WM2,41.56,-77.11
18XL,40.6675,-75.3848
1901,39.8586,-75.2606
1903,39.8586,-75.2606
1905,40.1607,-75.1392
1906,40.1607,-75.1392
1908,40.1607,-75.1392
1909,40.1607,-75.1392
190P,40.1607,-75.1392
191,39.9137,-75.1469
1911,39.9137,-75.1469
1913,39.9137,-75.1469
1914,39.9137,-75.1469
1915,40.1607,-75.1392
1917,39.9137,-75.1469
1918,39.9137,-75.1469
1919,39.9137,-75.1469
191BR,40.1607,-75.1392
192,39.9137,-75.1469
1921,40.1607,-75.1392
1928,39.8586,-75.2606
1929,39.8586,-75.2606
1931,39.9881,-75.5813
1933,40.1607,-75.1392
1934,39.9881,-75.5813
1938,39.9881,-75.5813
1939,39.9881,-75.5813
194,39.9881,-75.5813
1943,39.9881,-75.5813
