SLIC,SLIC Name,OpTyp,Desc,Building,Building Name,Region Num,Region Name,District Num,District Name,Facility Latitude,Facility Longitude,Organization Country Cd
215,WATERTOWN-WALTHAM,PKG,REGULAR PACKAGE CENTER,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
216,BACK BAY - 0209 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
216,BACK BAY - 0209 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
217,WALTHAM - 0212 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
217,WALTHAM - 0212 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
218,BACK BAY - 0219 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
218,BACK BAY - 0219 CPU,CPU,CENTRAL PICKUP,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
219,WATERTOWN HUB,HUB,HUB/CENTRAL SORT,219,WATERTOWN,7,EAST REGION,36,NORTHEAST,42.363,-71.1539,US
219,WATERTOWN HUB,HUB,HUB/CENTRAL SORT,219,WATERTOWN,7,NORTHEAST,36,EAST NEW ENGLAND,42.363,-71.1539,US
22,COLUMBIA,APT,AIRPORT,9532,ANGELS CAMP,22,AIR,65,LOUISVILLE AIR,38.0511,-120.5313,US
221,BRAINTREE - 0189 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
221,BRAINTREE - 0189 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
222,BRAINTREE - 0169 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
222,BRAINTREE - 0169 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
223,BROCKTON - 0709 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
223,BROCKTON - 0709 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
226,YARMOUTH - 0169 CPU,CPU,CENTRAL PICKUP,269,YARMOUTH,7,EAST REGION,36,NORTHEAST,41.6814,-70.2571,US
226,YARMOUTH - 0169 CPU,CPU,CENTRAL PICKUP,269,YARMOUTH,7,NORTHEAST,36,EAST NEW ENGLAND,41.6814,-70.2571,US
227,MANCHESTER-WORCESTER(0169,CPU,CENTRAL PICKUP,319,MANCHESTER,7,EAST REGION,36,NORTHEAST,42.9432,-71.4525,US
227,MANCHESTER-WORCESTER(0169,CPU,CENTRAL PICKUP,319,MANCHESTER,7,NORTHEAST,62,NO NEW ENGLAND,42.9432,-71.4525,US
228,LYNNFIELD,CPU,CENTRAL PICKUP,199,LYNNFIELD,7,EAST REGION,36,NORTHEAST,42.5065,-71.0344,US
228,LYNNFIELD,CPU,CENTRAL PICKUP,199,LYNNFIELD,7,NORTHEAST,62,NO NEW ENGLAND,42.5065,-71.0344,US
229,LOGAN AIRPORT,APT,AIRPORT,229,LOGAN AIRPORT,7,EAST REGION,36,NORTHEAST,42.3692,-71.027,US
229,LOGAN AIRPORT,APT,AIRPORT,229,LOGAN AIRPORT,7,NORTHEAST,36,EAST NEW ENGLAND,42.3692,-71.027,US
230,WORCESTER (WORCES),RRY,RAIL YARD,169,WORCESTER,7,EAST REGION,36,NORTHEAST,42.2603,-71.7924,US
230,WORCESTER (WORCES),RRY,RAIL YARD,169,WORCESTER,7,NORTHEAST,36,EAST NEW ENGLAND,42.2603,-71.7924,US
231,SOUTH BOSTON,PKG,REGULAR PACKAGE CENTER,231,SOUTH BOSTON,7,EAST REGION,36,NORTHEAST,42.3393,-71.0425,US
231,SOUTH BOSTON,PKG,REGULAR PACKAGE CENTER,231,SOUTH BOSTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.3393,-71.0425,US
233,BROCKTON - 0169 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
233,BROCKTON - 0169 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
234,SAGAMORE - 0169 CPU,CPU,CENTRAL PICKUP,259,SAGAMORE,7,EAST REGION,36,NORTHEAST,41.7799,-70.5312,US
234,SAGAMORE - 0169 CPU,CPU,CENTRAL PICKUP,259,SAGAMORE,7,NORTHEAST,36,EAST NEW ENGLAND,41.7799,-70.5312,US
238,BROCKTON - 0299 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
238,BROCKTON - 0299 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
240,BROCKTON - BROCKTON,PKG,REGULAR PACKAGE CENTER,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
240,BROCKTON WEST,PKG,REGULAR PACKAGE CENTER,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
240,BROCKTON WEST,PKG,REGULAR PACKAGE CENTER,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
248,BROCKTON - 0209 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
248,BROCKTON - 0209 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
249,BROCKTON HUB,HUB,HUB/CENTRAL SORT,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US
249,BROCKTON HUB,HUB,HUB/CENTRAL SORT,249,BROCKTON,7,NORTHEAST,36,EAST NEW ENGLAND,42.0501,-71.0034,US
