SLIC,Region Num,District Num,Facility Latitude,Facility Longitude,CC,SORT,CAP,SPAN,STRT
2129,6.0,25.25,39.2626,-76.675,US,P,3306.0,403.0,400.0
2129,6.0,25.25,39.2626,-76.675,US,T,75000.0,403.0,1700.0
2139,6.0,25.25,39.1877,-76.6611,US,S,800000.0,403.0,300.0
2139,6.0,25.25,39.1877,-76.6611,US,T,1039999.0,403.0,1700.0
2159,7.5,32.0,39.6313,-78.766,US,L,2893.0,328.0,1700.0
2159,7.5,32.0,39.6313,-78.766,US,P,3640.0,403.0,400.0
2169,6.0,25.25,39.2996,-76.5375,US,L,5101.0,328.0,1700.0
2169,6.0,25.25,39.2996,-76.5375,US,P,6914.0,403.0,400.0
2174,6.571428571428571,24.142857142857142,39.62388571428571,-77.77865714285714,US,L,960000.0,328.0,1700.0
2179,6.0,25.25,39.6126,-77.7308,US,L,8352.0,328.0,1700.0
2179,6.0,25.25,39.6126,-77.7308,US,P,6360.0,403.0,400.0
2189,6.0,25.25,38.404,-75.5778,US,L,1801.0,328.0,1700.0
2189,6.0,25.25,38.404,-75.5778,US,P,2629.0,403.0,400.0
2199,6.0,25.25,39.3631,-77.4326,US,L,4104.0,328.0,1700.0
2199,6.0,25.25,39.3631,-77.4326,US,P,6300.0,403.0,400.0
2209,6.666666666666667,36.333333333333336,38.8907,-77.4632,US,L,16236.0,328.0,1700.0
2209,6.666666666666667,36.333333333333336,38.8907,-77.4632,US,P,18906.0,403.0,400.0
2229,6.666666666666667,36.333333333333336,38.8034,-77.0911,US,L,7087.0,328.0,1700.0
2229,6.666666666666667,36.333333333333336,38.8034,-77.0911,US,P,8900.0,403.0,400.0
2241,6.75,33.5,37.7757,-76.5148,US,L,5246.0,328.0,1700.0
2241,6.75,33.5,37.7757,-76.5148,US,P,2360.0,403.0,400.0
2249,5.5,35.5,38.945,-77.4567,US,L,4616.0,328.0,1700.0
2249,5.5,35.5,38.945,-77.4567,US,P,14375.0,403.0,400.0
2289,6.75,33.5,38.0323,-78.4856,US,L,3884.0,328.0,1700.0
2289,6.75,33.5,38.0323,-78.4856,US,P,6825.0,403.0,400.0
2299,6.8,33.2,38.03982,-78.49024,US,S,970000.0,403.0,300.0
2309,6.75,33.5,37.5017,-77.3369,US,S,1079999.0,403.0,300.0
2309,6.75,33.5,37.5017,-77.3369,US,T,1209999.0,403.0,1700.0
2329,6.75,33.5,37.4029,-77.4163,US,N,81000.0,403.0,2200.0
2329,6.75,33.5,37.4029,-77.4163,US,P,9818.0,403.0,400.0
2329,6.75,33.5,37.4029,-77.4163,US,T,81000.0,403.0,1700.0
2349,6.75,33.5,36.8939,-76.1905,US,L,11727.0,328.0,1700.0
2349,6.75,33.5,36.8939,-76.1905,US,P,12840.0,403.0,400.0
2363,6.75,33.5,37.0917,-76.4765,US,P,1209999.0,403.0,400.0
2369,6.75,33.5,37.0917,-76.4765,US,L,5180.0,328.0,1700.0
2369,6.75,33.5,37.0917,-76.4765,US,P,9000.0,403.0,400.0
2394,6.75,33.5,37.0403,-78.4836,US,L,3696.0,328.0,1700.0
2394,6.75,33.5,37.0403,-78.4836,US,P,2160.0,403.0,400.0
2409,6.75,33.5,37.3173,-79.9796,US,N,72000.0,403.0,2200.0
2409,6.75,33.5,37.3173,-79.9796,US,P,3432.0,403.0,400.0
2409,6.75,33.5,37.3173,-79.9796,US,T,72000.0,403.0,1700.0
2429,4.333333333333333,44.0,36.6164,-82.1254,US,P,9000.0,403.0,400.0
2429,4.333333333333333,44.0,36.6164,-82.1254,US,T,20000.0,403.0,1700.0
2451,6.75,33.5,36.5952,-79.428,US,L,5886.0,328.0,1700.0
2451,6.75,33.5,36.5952,-79.428,US,P,5880.0,403.0,400.0
2499,7.5,32.0,37.7806,-80.3942,US,L,5103.0,328.0,1700.0
2499,7.5,32.0,37.7806,-80.3942,US,P,1980.0,403.0,400.0
2519,7.5,32.0,38.3437,-81.6087,US,S,1009999.0,403.0,300.0
2539,7.5,32.0,38.3666,-81.703,US,N,20000.0,403.0,2200.0
2539,7.5,32.0,38.3666,-81.703,US,P,6720.0,403.0,400.0
2539,7.5,32.0,38.3666,-81.703,US,T,20000.0,403.0,1700.0
2589,7.5,32.0,37.7807,-81.1146,US,S,800000.0,403.0,300.0
2632,7.5,32.0,39.2544,-80.3176,US,L,6284.0,328.0,1700.0
2632,7.5,32.0,39.2544,-80.3176,US,P,1980.0,403.0,400.0
2711,5.5,44.0,36.1563,-80.2431,US,L,7692.0,328.0,1700.0
2711,5.5,44.0,36.1563,-80.2431,US,P,8080.0,403.0,400.0
2721,5.5,44.0,35.9162,-80.0054,US,L,4932.0,328.0,1700.0
2721,5.5,44.0,35.9162,-80.0054,US,P,3960.0,403.0,400.0
2749,5.5,44.0,36.0568,-79.8555,US,D,142000.0,478.0,1100.0
