SLIC,Facility Latitude_x,Facility Longitude_x,OSLIC,DSLIC,VOL,Facility Latitude_y,Facility Longitude_y,VOL_LEVEL=
5,0.0,0.0,5,2711,1.504,36.1563,-80.2431,1
5,0.0,0.0,5,2721,1.4509999999999998,35.9162,-80.0054,1
5,0.0,0.0,5,2725,2.451,36.1563,-80.2431,1
5,0.0,0.0,5,2751,1.82,35.836999999999996,-78.6031,1
5,0.0,0.0,5,2754,2.082,35.911,-79.0564,1
5,0.0,0.0,5,2761,1.609,35.836999999999996,-78.6031,1
5,0.0,0.0,5,2764,1.9240000000000002,35.836999999999996,-78.6031,1
5,0.0,0.0,5,2781,1.5030000000000001,35.6028,-77.4942,1
5,0.0,0.0,5,2782,1.4509999999999998,35.4164,-77.9818,1
5,0.0,0.0,5,2801,1.661,35.5273,-80.611,1
5,0.0,0.0,5,2802,1.5030000000000001,35.2841,-81.1941,1
5,0.0,0.0,5,2811,1.5030000000000001,35.0037,-80.5725,1
5,0.0,0.0,5,2814,1.556,35.6483,-80.473,1
5,0.0,0.0,5,2821,1.714,35.2735,-80.8113,1
5,0.0,0.0,5,2824,1.5030000000000001,35.2735,-80.8113,1
5,0.0,0.0,5,2825,1.556,35.41,-80.58,1
5,0.0,0.0,5,2832,1.556,35.1938,-79.3734,1
5,0.0,0.0,5,2834,1.4509999999999998,34.6058,-78.9998,1
5,0.0,0.0,5,2851,1.5030000000000001,34.7469,-77.3824,1
5,0.0,0.0,5,2855,1.4509999999999998,34.8789,-76.9114,1
